Matrix of values from data file Cathode_N_PML_450A_mmNew.POU
  ZMin:   6.0000E+01    RMin:   0.0000E+00
  ZMax:   9.0000E+01    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz         Br
=============================================================================
  6.0000E+01  0.0000E+00     8.0312E-05  8.0312E-05 -1.5636E-10
  6.0060E+01  0.0000E+00     8.0872E-05  8.0872E-05  1.1928E-11
  6.0120E+01  0.0000E+00     8.1435E-05  8.1435E-05  1.5379E-10
  6.0180E+01  0.0000E+00     8.2004E-05  8.2004E-05 -6.1280E-11
  6.0240E+01  0.0000E+00     8.2575E-05  8.2575E-05  7.8606E-11
  6.0300E+01  0.0000E+00     8.3149E-05  8.3149E-05 -1.2188E-10
  6.0360E+01  0.0000E+00     8.3728E-05  8.3728E-05  9.7925E-12
  6.0420E+01  0.0000E+00     8.4308E-05  8.4308E-05  1.2724E-10
  6.0480E+01  0.0000E+00     8.4892E-05  8.4892E-05 -5.2562E-11
  6.0540E+01  0.0000E+00     8.5479E-05  8.5479E-05  6.2890E-11
  6.0600E+01  0.0000E+00     8.6069E-05  8.6069E-05 -1.0685E-10
  6.0660E+01  0.0000E+00     8.6662E-05  8.6662E-05  6.4498E-12
  6.0720E+01  0.0000E+00     8.7256E-05  8.7256E-05  1.1758E-10
  6.0780E+01  0.0000E+00     8.7855E-05  8.7855E-05 -4.9764E-11
  6.0840E+01  0.0000E+00     8.8456E-05  8.8456E-05  5.8664E-11
  6.0900E+01  0.0000E+00     8.9059E-05  8.9059E-05 -1.0581E-10
  6.0960E+01  0.0000E+00     8.9666E-05  8.9666E-05  4.1015E-12
  6.1020E+01  0.0000E+00     9.0275E-05  9.0275E-05  1.1794E-10
  6.1080E+01  0.0000E+00     9.0887E-05  9.0887E-05 -5.7423E-11
  6.1140E+01  0.0000E+00     9.1502E-05  9.1502E-05  6.6382E-11
  6.1200E+01  0.0000E+00     9.2120E-05  9.2120E-05 -1.2519E-10
  6.1260E+01  0.0000E+00     9.2742E-05  9.2742E-05  6.8234E-13
  6.1320E+01  0.0000E+00     9.3366E-05  9.3366E-05  1.4773E-10
  6.1380E+01  0.0000E+00     9.3995E-05  9.3995E-05 -7.2261E-11
  6.1440E+01  0.0000E+00     9.4627E-05  9.4627E-05  8.0676E-11
  6.1500E+01  0.0000E+00     9.5262E-05  9.5262E-05 -1.5910E-10
  6.1560E+01  0.0000E+00     9.5903E-05  9.5903E-05  5.1883E-13
  6.1620E+01  0.0000E+00     9.6546E-05  9.6546E-05  1.9448E-10
  6.1680E+01  0.0000E+00     9.7196E-05  9.7196E-05 -9.7553E-11
  6.1740E+01  0.0000E+00     9.7850E-05  9.7850E-05  1.0539E-10
  6.1800E+01  0.0000E+00     9.8507E-05  9.8507E-05 -2.1287E-10
  6.1860E+01  0.0000E+00     9.9173E-05  9.9173E-05  2.9398E-13
  6.1920E+01  0.0000E+00     9.9842E-05  9.9842E-05  2.6014E-10
  6.1980E+01  0.0000E+00     1.0052E-04  1.0052E-04 -1.3028E-10
  6.2040E+01  0.0000E+00     1.0120E-04  1.0120E-04  1.4496E-10
  6.2100E+01  0.0000E+00     1.0189E-04  1.0189E-04 -2.9085E-10
  6.2160E+01  0.0000E+00     1.0259E-04  1.0259E-04 -1.3566E-12
  6.2220E+01  0.0000E+00     1.0329E-04  1.0329E-04  3.5163E-10
  6.2280E+01  0.0000E+00     1.0401E-04  1.0401E-04 -1.7651E-10
  6.2340E+01  0.0000E+00     1.0473E-04  1.0473E-04  1.9272E-10
  6.2400E+01  0.0000E+00     1.0546E-04  1.0546E-04 -3.8780E-10
  6.2460E+01  0.0000E+00     1.0621E-04  1.0621E-04 -3.4483E-13
  6.2520E+01  0.0000E+00     1.0696E-04  1.0696E-04  4.6404E-10
  6.2580E+01  0.0000E+00     1.0772E-04  1.0772E-04 -2.3563E-10
  6.2640E+01  0.0000E+00     1.0850E-04  1.0850E-04  2.5873E-10
