Matrix of values from data file Adj_mmNew_275A.POU
  ZMin:   3.5000E+02    RMin:   0.0000E+00
  ZMax:   3.9000E+02    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|         Bz         Br
=============================================================================
  3.5000E+02  0.0000E+00     3.1967E-04  3.1967E-04 -3.3821E-09
  3.5008E+02  0.0000E+00     3.2551E-04  3.2551E-04 -1.0820E-09
  3.5016E+02  0.0000E+00     3.3147E-04  3.3147E-04  1.3118E-09
  3.5024E+02  0.0000E+00     3.3754E-04  3.3754E-04  3.8272E-09
  3.5032E+02  0.0000E+00     3.4379E-04  3.4379E-04 -2.9834E-09
  3.5040E+02  0.0000E+00     3.5019E-04  3.5019E-04 -3.5598E-10
  3.5048E+02  0.0000E+00     3.5672E-04  3.5672E-04  2.2463E-09
  3.5056E+02  0.0000E+00     3.6338E-04  3.6338E-04 -4.9623E-09
  3.5064E+02  0.0000E+00     3.7027E-04  3.7027E-04 -2.2253E-09
  3.5072E+02  0.0000E+00     3.7730E-04  3.7730E-04  4.8826E-10
  3.5080E+02  0.0000E+00     3.8448E-04  3.8448E-04  3.6576E-09
  3.5088E+02  0.0000E+00     3.9183E-04  3.9183E-04 -4.4895E-09
  3.5096E+02  0.0000E+00     3.9940E-04  3.9940E-04 -1.5448E-09
  3.5104E+02  0.0000E+00     4.0713E-04  4.0713E-04  1.7574E-09
  3.5112E+02  0.0000E+00     4.1502E-04  4.1502E-04  5.1098E-09
  3.5120E+02  0.0000E+00     4.2314E-04  4.2314E-04 -3.9488E-09
  3.5128E+02  0.0000E+00     4.3147E-04  4.3147E-04 -4.4282E-10
  3.5136E+02  0.0000E+00     4.3998E-04  4.3998E-04  3.1518E-09
  3.5144E+02  0.0000E+00     4.4866E-04  4.4866E-04 -6.6155E-09
  3.5152E+02  0.0000E+00     4.5765E-04  4.5765E-04 -3.0662E-09
  3.5160E+02  0.0000E+00     4.6683E-04  4.6683E-04  7.6467E-10
  3.5168E+02  0.0000E+00     4.7621E-04  4.7621E-04  4.8895E-09
  3.5176E+02  0.0000E+00     4.8583E-04  4.8583E-04 -6.0430E-09
  3.5184E+02  0.0000E+00     4.9574E-04  4.9574E-04 -2.0083E-09
  3.5192E+02  0.0000E+00     5.0587E-04  5.0587E-04  2.3271E-09
  3.5200E+02  0.0000E+00     5.1623E-04  5.1623E-04  6.9550E-09
  3.5208E+02  0.0000E+00     5.2689E-04  5.2689E-04 -5.1547E-09
  3.5216E+02  0.0000E+00     5.3784E-04  5.3784E-04 -6.6178E-10
  3.5224E+02  0.0000E+00     5.4903E-04  5.4903E-04  4.2673E-09
  3.5232E+02  0.0000E+00     5.6046E-04  5.6046E-04 -8.7170E-09
  3.5240E+02  0.0000E+00     5.7230E-04  5.7230E-04 -4.2003E-09
  3.5248E+02  0.0000E+00     5.8440E-04  5.8440E-04  1.0554E-09
  3.5256E+02  0.0000E+00     5.9677E-04  5.9677E-04  6.8405E-09
  3.5264E+02  0.0000E+00     6.0948E-04  6.0948E-04 -8.3270E-09
  3.5272E+02  0.0000E+00     6.2258E-04  6.2258E-04 -2.7335E-09
  3.5280E+02  0.0000E+00     6.3598E-04  6.3598E-04  3.2498E-09
  3.5288E+02  0.0000E+00     6.4968E-04  6.4968E-04  9.7726E-09
  3.5296E+02  0.0000E+00     6.6381E-04  6.6381E-04 -6.9862E-09
  3.5304E+02  0.0000E+00     6.7833E-04  6.7833E-04 -9.4941E-10
  3.5312E+02  0.0000E+00     6.9318E-04  6.9318E-04  6.0492E-09
  3.5320E+02  0.0000E+00     7.0836E-04  7.0836E-04 -1.2253E-08
  3.5328E+02  0.0000E+00     7.2410E-04  7.2410E-04 -5.7932E-09
  3.5336E+02  0.0000E+00     7.4020E-04  7.4020E-04  1.6759E-09
  3.5344E+02  0.0000E+00     7.5666E-04  7.5666E-04  9.0001E-09
  3.5352E+02  0.0000E+00     7.7358E-04  7.7358E-04 -1.0985E-08
  3.5360E+02  0.0000E+00     7.9104E-04  7.9104E-04 -3.5126E-09
