Matrix of values from data file Obj_mmNew_340A.POU
  ZMin:   1.0600E+03    RMin:   0.0000E+00
  ZMax:   1.0900E+03    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz        Br
=============================================================================
   1060.000  0.0000E+00     1.2952E-04  1.2952E-04 -6.2816E-09
   1060.060  0.0000E+00     1.3240E-04  1.3240E-04  8.8813E-09
   1060.120  0.0000E+00     1.3546E-04  1.3546E-04  2.0060E-09
   1060.180  0.0000E+00     1.3852E-04  1.3852E-04 -4.8557E-09
   1060.240  0.0000E+00     1.4158E-04  1.4158E-04 -1.1717E-08
   1060.300  0.0000E+00     1.4511E-04  1.4511E-04  4.9885E-09
   1060.360  0.0000E+00     1.4857E-04  1.4857E-04 -2.7744E-09
   1060.420  0.0000E+00     1.5203E-04  1.5203E-04 -1.0537E-08
   1060.480  0.0000E+00     1.5585E-04  1.5585E-04  8.5070E-09
   1060.540  0.0000E+00     1.5976E-04  1.5976E-04 -2.1401E-10
   1060.600  0.0000E+00     1.6367E-04  1.6367E-04 -8.9350E-09
   1060.660  0.0000E+00     1.6782E-04  1.6782E-04  1.2757E-08
   1060.720  0.0000E+00     1.7224E-04  1.7224E-04  2.9424E-09
   1060.780  0.0000E+00     1.7666E-04  1.7666E-04 -6.8524E-09
   1060.840  0.0000E+00     1.8107E-04  1.8107E-04 -1.6647E-08
   1060.900  0.0000E+00     1.8615E-04  1.8615E-04  7.0708E-09
   1060.960  0.0000E+00     1.9113E-04  1.9113E-04 -4.0269E-09
   1061.020  0.0000E+00     1.9612E-04  1.9612E-04 -1.5125E-08
   1061.080  0.0000E+00     2.0163E-04  2.0163E-04  1.2092E-08
   1061.140  0.0000E+00     2.0725E-04  2.0725E-04 -2.8093E-10
   1061.200  0.0000E+00     2.1287E-04  2.1287E-04 -1.2654E-08
   1061.260  0.0000E+00     2.1887E-04  2.1887E-04  1.8479E-08
   1061.320  0.0000E+00     2.2522E-04  2.2522E-04  4.2748E-09
   1061.380  0.0000E+00     2.3156E-04  2.3156E-04 -9.9292E-09
   1061.440  0.0000E+00     2.3792E-04  2.3792E-04 -2.4162E-08
   1061.500  0.0000E+00     2.4522E-04  2.4522E-04  9.8545E-09
   1061.560  0.0000E+00     2.5238E-04  2.5238E-04 -5.9218E-09
   1061.620  0.0000E+00     2.5956E-04  2.5956E-04 -2.1729E-08
   1061.680  0.0000E+00     2.6748E-04  2.6748E-04  1.7651E-08
   1061.740  0.0000E+00     2.7557E-04  2.7557E-04 -2.0853E-10
   1061.800  0.0000E+00     2.8367E-04  2.8367E-04 -1.8103E-08
   1061.860  0.0000E+00     2.9226E-04  2.9226E-04  2.6176E-08
   1061.920  0.0000E+00     3.0138E-04  3.0138E-04  5.9581E-09
   1061.980  0.0000E+00     3.1049E-04  3.1049E-04 -1.4260E-08
   1062.040  0.0000E+00     3.1963E-04  3.1963E-04 -3.4518E-08
   1062.100  0.0000E+00     3.3013E-04  3.3013E-04  1.4268E-08
   1062.160  0.0000E+00     3.4042E-04  3.4042E-04 -8.4999E-09
   1062.220  0.0000E+00     3.5073E-04  3.5073E-04 -3.1313E-08
   1062.280  0.0000E+00     3.6212E-04  3.6212E-04  2.5511E-08
   1062.340  0.0000E+00     3.7375E-04  3.7375E-04 -3.3590E-10
   1062.400  0.0000E+00     3.8539E-04  3.8539E-04 -2.6234E-08
   1062.460  0.0000E+00     3.9772E-04  3.9772E-04  3.7851E-08
   1062.520  0.0000E+00     4.1084E-04  4.1084E-04  8.8017E-09
   1062.580  0.0000E+00     4.2398E-04  4.2398E-04 -2.0306E-08
   1062.640  0.0000E+00     4.3709E-04  4.3709E-04 -4.9355E-08
   1062.700  0.0000E+00     4.5223E-04  4.5223E-04  2.1017E-08
   1062.760  0.0000E+00     4.6707E-04  4.6707E-04 -1.2513E-08
   1062.820  0.0000E+00     4.8188E-04  4.8188E-04 -4.5976E-08
   1062.880  0.0000E+00     4.9829E-04  4.9829E-04  3.5589E-08
